
> backend@1.0.0 test
> jest --testMatch '**/?(*.)+(test).ts'

POST /rooms/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b/Hotel55644ab8-ba80-477a-a4bb-123e087081cf 200
POST /rooms/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b/Hotele58b23cf-26aa-4952-9cda-3e1c06464d2b 200
POST /rooms/new/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494/Hotel2366209c-1b64-4b26-8a5e-1d463cba5dd1 200
POST /travellers/new/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
POST /travellers/new/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
POST /travellers/new/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b/Hotel55644ab8-ba80-477a-a4bb-123e087081cf/Room9d38bcac-c9c9-4fda-9a0f-8e4885fc6c7c/assign/Traveller013c2d01-6bf4-41dc-80d6-0a58c85093e7 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b/Hotele58b23cf-26aa-4952-9cda-3e1c06464d2b/Room41456acd-15af-42d1-a4db-06ea3bb2cd4d/assign/Traveller6d3fd4d2-9f90-4af8-a55d-449ea172914d 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5df93b6f-ae8c-49a6-9ec5-36f751f8029b/Hotele58b23cf-26aa-4952-9cda-3e1c06464d2b/Room41456acd-15af-42d1-a4db-06ea3bb2cd4d/assign/Travellere7be65af-286d-4596-9de4-c07cdd37dcac 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494/Hotel2366209c-1b64-4b26-8a5e-1d463cba5dd1/Room304e890b-b220-4e71-99f3-876b90ce210f/assign/Traveller013c2d01-6bf4-41dc-80d6-0a58c85093e7 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494/Hotel2366209c-1b64-4b26-8a5e-1d463cba5dd1/Room304e890b-b220-4e71-99f3-876b90ce210f/assign/Traveller6d3fd4d2-9f90-4af8-a55d-449ea172914d 200
POST /rooms/Tripfeac1693-dec5-4546-a0ad-68962813561c/Split5dba9ec2-b071-4d83-ad78-2f401259d494/Hotel2366209c-1b64-4b26-8a5e-1d463cba5dd1/Room304e890b-b220-4e71-99f3-876b90ce210f/assign/Travellere7be65af-286d-4596-9de4-c07cdd37dcac 200
GET /trips/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
GET /days/Tripfeac1693-dec5-4546-a0ad-68962813561c 200
DELETE /clear 200
